ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,mortgage_rate,mortgage_rate_lower,mortgage_rate_upper,tax,tax_lower,tax_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,County
2027-12-31,172221.4565567597,163265.4346682123,173748.86888881683,171353.43451318317,173007.85608615226,-3969.1047699944556,-3969.1047699944556,-3969.1047699944556,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,310.59274574481594,310.59274574481594,310.59274574481594,0.0,0.0,0.0,168252.35178676524,Oneida
2028-01-31,173054.22182548844,162761.30461837837,173616.27266731867,172123.85016981038,173916.04013114175,-4490.438466358046,-4490.438466358046,-4490.438466358046,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-210.74095061877443,-210.74095061877443,-210.74095061877443,0.0,0.0,0.0,168563.78335913038,Oneida
2028-02-29,173833.2603026863,164612.69418699504,175281.50551856248,172852.56575487694,174760.5629958023,-3980.4921814450017,-3980.4921814450017,-3980.4921814450017,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,299.20533429426956,299.20533429426956,299.20533429426956,0.0,0.0,0.0,169852.7681212413,Oneida
2028-03-31,174666.0255714151,166242.21616948172,177072.23824223448,173607.26848271562,175643.45344997977,-3027.9109837792143,-3027.9109837792143,-3027.9109837792143,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,1251.7865319600573,1251.7865319600573,1251.7865319600573,0.0,0.0,0.0,171638.1145876359,Oneida
2028-04-30,175471.92744437844,166463.00678551185,177680.71561908303,174350.13590797962,176506.29437462013,-3367.8725683742123,-3367.8725683742123,-3367.8725683742123,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,911.8249473650586,911.8249473650586,911.8249473650586,0.0,0.0,0.0,172104.05487600423,Oneida
2028-05-31,176304.69271310722,166914.55308400403,177996.40783925683,175141.7315245466,177401.46803001984,-3653.8697199342714,-3653.8697199342714,-3653.8697199342714,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,625.8277958049997,625.8277958049997,625.8277958049997,0.0,0.0,0.0,172650.82299317294,Oneida
2028-06-30,177110.59458607054,167466.26985858378,178519.89734309164,175901.41624121077,178261.47178281093,-3919.653872065707,-3919.653872065707,-3919.653872065707,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,360.04364367356396,360.04364367356396,360.04364367356396,0.0,0.0,0.0,173190.94071400483,Oneida
2028-07-31,177943.35985479935,167889.02916158971,178379.5526905164,176696.66173650225,179155.78932267483,-4805.75058684899,-4805.75058684899,-4805.75058684899,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-526.0530711097181,-526.0530711097181,-526.0530711097181,0.0,0.0,0.0,173137.60926795035,Oneida
2028-08-31,178776.12512352812,167970.19984003727,177989.2812653175,177461.6013063373,180033.51269951696,-5724.800609915868,-5724.800609915868,-5724.800609915868,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-1445.1030941765966,-1445.1030941765966,-1445.1030941765966,0.0,0.0,0.0,173051.32451361226,Oneida
2028-09-30,179582.02699649145,167716.0961363745,178896.3380978037,178207.27559461183,180890.44967235255,-6081.207977004632,-6081.207977004632,-6081.207977004632,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-1801.5104612653604,-1801.5104612653604,-1801.5104612653604,0.0,0.0,0.0,173500.8190194868,Oneida
