RegionID,SizeRank,RegionName,RegionType,StateName,Date,PriceValue
395179,169,"Utica, NY",msa,NY,2016-02-29,
394387,195,"Binghamton, NY",msa,NY,2016-02-29,
394748,241,"Kingston, NY",msa,NY,2016-02-29,
394719,328,"Jamestown, NY",msa,NY,2016-02-29,
394633,331,"Glens Falls, NY",msa,NY,2016-02-29,
395213,351,"Watertown, NY",msa,NY,2016-02-29,
394709,376,"Ithaca, NY",msa,NY,2016-02-29,
394501,413,"Corning, NY",msa,NY,2016-02-29,
394568,432,"Elmira, NY",msa,NY,2016-02-29,
394350,464,"Auburn, NY",msa,NY,2016-02-29,
394939,542,"Oneonta, NY",msa,NY,2016-02-29,
394913,1,"New York, NY",msa,NY,2016-03-31,2092.712586550761
394425,50,"Buffalo, NY",msa,NY,2016-03-31,1068.51742444113
395031,52,"Rochester, NY",msa,NY,2016-03-31,1113.3221332495802
394308,64,"Albany, NY",msa,NY,2016-03-31,1299.6541838301994
845159,86,"Poughkeepsie, NY",msa,NY,2016-03-31,1713.5030663129348
395143,91,"Syracuse, NY",msa,NY,2016-03-31,
395179,169,"Utica, NY",msa,NY,2016-03-31,
394387,195,"Binghamton, NY",msa,NY,2016-03-31,
394748,241,"Kingston, NY",msa,NY,2016-03-31,
394719,328,"Jamestown, NY",msa,NY,2016-03-31,
394633,331,"Glens Falls, NY",msa,NY,2016-03-31,
395213,351,"Watertown, NY",msa,NY,2016-03-31,
394709,376,"Ithaca, NY",msa,NY,2016-03-31,
394501,413,"Corning, NY",msa,NY,2016-03-31,
394568,432,"Elmira, NY",msa,NY,2016-03-31,
394350,464,"Auburn, NY",msa,NY,2016-03-31,
394939,542,"Oneonta, NY",msa,NY,2016-03-31,
394913,1,"New York, NY",msa,NY,2016-04-30,2104.251149446672
394425,50,"Buffalo, NY",msa,NY,2016-04-30,1094.4331417467447
395031,52,"Rochester, NY",msa,NY,2016-04-30,1110.695308806716
394308,64,"Albany, NY",msa,NY,2016-04-30,1310.051024104171
845159,86,"Poughkeepsie, NY",msa,NY,2016-04-30,1735.611380128684
395143,91,"Syracuse, NY",msa,NY,2016-04-30,1162.5724742584848
395179,169,"Utica, NY",msa,NY,2016-04-30,
394387,195,"Binghamton, NY",msa,NY,2016-04-30,
394748,241,"Kingston, NY",msa,NY,2016-04-30,
394719,328,"Jamestown, NY",msa,NY,2016-04-30,
394633,331,"Glens Falls, NY",msa,NY,2016-04-30,
395213,351,"Watertown, NY",msa,NY,2016-04-30,
394709,376,"Ithaca, NY",msa,NY,2016-04-30,
394501,413,"Corning, NY",msa,NY,2016-04-30,
394568,432,"Elmira, NY",msa,NY,2016-04-30,
394350,464,"Auburn, NY",msa,NY,2016-04-30,
394939,542,"Oneonta, NY",msa,NY,2016-04-30,
394913,1,"New York, NY",msa,NY,2016-05-31,2111.254234071659
394425,50,"Buffalo, NY",msa,NY,2016-05-31,1095.7832764145578
395031,52,"Rochester, NY",msa,NY,2016-05-31,1132.0064697473445
394308,64,"Albany, NY",msa,NY,2016-05-31,1320.731122069727
845159,86,"Poughkeepsie, NY",msa,NY,2016-05-31,1744.6396394174214
395143,91,"Syracuse, NY",msa,NY,2016-05-31,1172.8662103973031
395179,169,"Utica, NY",msa,NY,2016-05-31,
394387,195,"Binghamton, NY",msa,NY,2016-05-31,
394748,241,"Kingston, NY",msa,NY,2016-05-31,
394719,328,"Jamestown, NY",msa,NY,2016-05-31,
394633,331,"Glens Falls, NY",msa,NY,2016-05-31,
395213,351,"Watertown, NY",msa,NY,2016-05-31,
394709,376,"Ithaca, NY",msa,NY,2016-05-31,
394501,413,"Corning, NY",msa,NY,2016-05-31,
394568,432,"Elmira, NY",msa,NY,2016-05-31,
394350,464,"Auburn, NY",msa,NY,2016-05-31,
394939,542,"Oneonta, NY",msa,NY,2016-05-31,
394913,1,"New York, NY",msa,NY,2016-06-30,2116.2457943612
394425,50,"Buffalo, NY",msa,NY,2016-06-30,1111.428895748228
395031,52,"Rochester, NY",msa,NY,2016-06-30,1139.1559948065117
394308,64,"Albany, NY",msa,NY,2016-06-30,1326.9822891509416
845159,86,"Poughkeepsie, NY",msa,NY,2016-06-30,1733.7276383375831
395143,91,"Syracuse, NY",msa,NY,2016-06-30,1198.9277722657848
395179,169,"Utica, NY",msa,NY,2016-06-30,
394387,195,"Binghamton, NY",msa,NY,2016-06-30,
394748,241,"Kingston, NY",msa,NY,2016-06-30,
394719,328,"Jamestown, NY",msa,NY,2016-06-30,
394633,331,"Glens Falls, NY",msa,NY,2016-06-30,
395213,351,"Watertown, NY",msa,NY,2016-06-30,
394709,376,"Ithaca, NY",msa,NY,2016-06-30,
394501,413,"Corning, NY",msa,NY,2016-06-30,
394568,432,"Elmira, NY",msa,NY,2016-06-30,
394350,464,"Auburn, NY",msa,NY,2016-06-30,
394939,542,"Oneonta, NY",msa,NY,2016-06-30,
394913,1,"New York, NY",msa,NY,2016-07-31,2119.696756183116
394425,50,"Buffalo, NY",msa,NY,2016-07-31,1090.1546418395542
395031,52,"Rochester, NY",msa,NY,2016-07-31,1143.5284957255749
394308,64,"Albany, NY",msa,NY,2016-07-31,1331.7698956741965
845159,86,"Poughkeepsie, NY",msa,NY,2016-07-31,1735.4106352652232
395143,91,"Syracuse, NY",msa,NY,2016-07-31,1191.817042844144
395179,169,"Utica, NY",msa,NY,2016-07-31,
394387,195,"Binghamton, NY",msa,NY,2016-07-31,
394748,241,"Kingston, NY",msa,NY,2016-07-31,
394719,328,"Jamestown, NY",msa,NY,2016-07-31,
394633,331,"Glens Falls, NY",msa,NY,2016-07-31,
395213,351,"Watertown, NY",msa,NY,2016-07-31,
394709,376,"Ithaca, NY",msa,NY,2016-07-31,
394501,413,"Corning, NY",msa,NY,2016-07-31,
394568,432,"Elmira, NY",msa,NY,2016-07-31,
394350,464,"Auburn, NY",msa,NY,2016-07-31,
394939,542,"Oneonta, NY",msa,NY,2016-07-31,
394913,1,"New York, NY",msa,NY,2016-08-31,2117.8677260133804
394425,50,"Buffalo, NY",msa,NY,2016-08-31,1093.336728914653
395031,52,"Rochester, NY",msa,NY,2016-08-31,1141.907392686411
394308,64,"Albany, NY",msa,NY,2016-08-31,1333.22460177435
845159,86,"Poughkeepsie, NY",msa,NY,2016-08-31,1739.572702789476
395143,91,"Syracuse, NY",msa,NY,2016-08-31,1172.9239438044103
395179,169,"Utica, NY",msa,NY,2016-08-31,
394387,195,"Binghamton, NY",msa,NY,2016-08-31,
394748,241,"Kingston, NY",msa,NY,2016-08-31,
394719,328,"Jamestown, NY",msa,NY,2016-08-31,
394633,331,"Glens Falls, NY",msa,NY,2016-08-31,
395213,351,"Watertown, NY",msa,NY,2016-08-31,
394709,376,"Ithaca, NY",msa,NY,2016-08-31,
394501,413,"Corning, NY",msa,NY,2016-08-31,
394568,432,"Elmira, NY",msa,NY,2016-08-31,
394350,464,"Auburn, NY",msa,NY,2016-08-31,
394939,542,"Oneonta, NY",msa,NY,2016-08-31,
394913,1,"New York, NY",msa,NY,2016-09-30,2118.2786293424933
394425,50,"Buffalo, NY",msa,NY,2016-09-30,1084.2885439232125
395031,52,"Rochester, NY",msa,NY,2016-09-30,1135.590927794218
394308,64,"Albany, NY",msa,NY,2016-09-30,1345.0537556810227
845159,86,"Poughkeepsie, NY",msa,NY,2016-09-30,1725.9505365741004
395143,91,"Syracuse, NY",msa,NY,2016-09-30,1151.0910461552105
395179,169,"Utica, NY",msa,NY,2016-09-30,
394387,195,"Binghamton, NY",msa,NY,2016-09-30,
394748,241,"Kingston, NY",msa,NY,2016-09-30,
394719,328,"Jamestown, NY",msa,NY,2016-09-30,
394633,331,"Glens Falls, NY",msa,NY,2016-09-30,
395213,351,"Watertown, NY",msa,NY,2016-09-30,
394709,376,"Ithaca, NY",msa,NY,2016-09-30,
394501,413,"Corning, NY",msa,NY,2016-09-30,
394568,432,"Elmira, NY",msa,NY,2016-09-30,
394350,464,"Auburn, NY",msa,NY,2016-09-30,
394939,542,"Oneonta, NY",msa,NY,2016-09-30,
394913,1,"New York, NY",msa,NY,2016-10-31,2114.4658490086504
394425,50,"Buffalo, NY",msa,NY,2016-10-31,1104.227186711243
395031,52,"Rochester, NY",msa,NY,2016-10-31,1134.6091198687257
394308,64,"Albany, NY",msa,NY,2016-10-31,1329.6663482386552
845159,86,"Poughkeepsie, NY",msa,NY,2016-10-31,1719.3476233518943
395143,91,"Syracuse, NY",msa,NY,2016-10-31,1166.7020677798866
395179,169,"Utica, NY",msa,NY,2016-10-31,
394387,195,"Binghamton, NY",msa,NY,2016-10-31,
394748,241,"Kingston, NY",msa,NY,2016-10-31,
394719,328,"Jamestown, NY",msa,NY,2016-10-31,
394633,331,"Glens Falls, NY",msa,NY,2016-10-31,
395213,351,"Watertown, NY",msa,NY,2016-10-31,
394709,376,"Ithaca, NY",msa,NY,2016-10-31,
394501,413,"Corning, NY",msa,NY,2016-10-31,
394568,432,"Elmira, NY",msa,NY,2016-10-31,
394350,464,"Auburn, NY",msa,NY,2016-10-31,
394939,542,"Oneonta, NY",msa,NY,2016-10-31,
394913,1,"New York, NY",msa,NY,2016-11-30,2124.4853055676417
