Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Mortgage_Rate,Rent_CF,Buy_CF,Rent_NPV,Buy_NPV,Rent_IRR,Buy_IRR
2022,Albany,New York,1196,263800,5114,1436,74707,5.23,-14352.0,-17232.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2022,Albany,New York,1196,263800,5114,1436,74707,5.52,-14352.0,-17232.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2022,Albany,New York,1196,263800,5114,1436,74707,5.41,-14352.0,-17232.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2022,Albany,New York,1196,263800,5114,1436,74707,5.22,-14352.0,-17232.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2022,Albany,New York,1196,263800,5114,1436,74707,6.11,-14352.0,-17232.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2022,Albany,New York,1196,263800,5114,1436,74707,6.9,-14352.0,-17232.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2022,Albany,New York,1196,263800,5114,1436,74707,6.8,-14352.0,-17232.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2022,Albany,New York,1196,263800,5114,1436,74707,6.36,-14352.0,-17232.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2023,Albany,New York,1252,277400,5253,1483,75285,6.27,-15024.0,-17796.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2023,Albany,New York,1252,277400,5253,1483,75285,6.26,-15024.0,-17796.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2023,Albany,New York,1252,277400,5253,1483,75285,6.54,-15024.0,-17796.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2023,Albany,New York,1252,277400,5253,1483,75285,6.34,-15024.0,-17796.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2023,Albany,New York,1252,277400,5253,1483,75285,6.42,-15024.0,-17796.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2023,Albany,New York,1252,277400,5253,1483,75285,6.71,-15024.0,-17796.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2023,Albany,New York,1252,277400,5253,1483,75285,6.84,-15024.0,-17796.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2023,Albany,New York,1252,277400,5253,1483,75285,7.07,-15024.0,-17796.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2023,Albany,New York,1252,277400,5253,1483,75285,7.2,-15024.0,-17796.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2023,Albany,New York,1252,277400,5253,1483,75285,7.62,-15024.0,-17796.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2023,Albany,New York,1252,277400,5253,1483,75285,7.44,-15024.0,-17796.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2023,Albany,New York,1252,277400,5253,1483,75285,6.82,-15024.0,242960.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2015,Allegany,New York,606,70300,2320,680,13373,3.67,-7272.0,-258160.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2015,Allegany,New York,606,70300,2320,680,13373,3.71,-7272.0,-8160.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2015,Allegany,New York,606,70300,2320,680,13373,3.77,-7272.0,-8160.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2015,Allegany,New York,606,70300,2320,680,13373,3.67,-7272.0,-8160.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2015,Allegany,New York,606,70300,2320,680,13373,3.84,-7272.0,-8160.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2015,Allegany,New York,606,70300,2320,680,13373,3.98,-7272.0,-8160.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2015,Allegany,New York,606,70300,2320,680,13373,4.05,-7272.0,-8160.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2015,Allegany,New York,606,70300,2320,680,13373,3.9,-7272.0,-8160.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2015,Allegany,New York,606,70300,2320,680,13373,3.89,-7272.0,-8160.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2015,Allegany,New York,606,70300,2320,680,13373,3.8,-7272.0,-8160.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2015,Allegany,New York,606,70300,2320,680,13373,3.94,-7272.0,-8160.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2015,Allegany,New York,606,70300,2320,680,13373,3.96,-7272.0,-8160.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2016,Allegany,New York,618,72100,2367,661,13334,3.87,-7416.0,-7932.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2016,Allegany,New York,618,72100,2367,661,13334,3.66,-7416.0,-7932.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2016,Allegany,New York,618,72100,2367,661,13334,3.69,-7416.0,-7932.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2016,Allegany,New York,618,72100,2367,661,13334,3.6,-7416.0,-7932.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2016,Allegany,New York,618,72100,2367,661,13334,3.6,-7416.0,-7932.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2016,Allegany,New York,618,72100,2367,661,13334,3.57,-7416.0,-7932.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2016,Allegany,New York,618,72100,2367,661,13334,3.44,-7416.0,-7932.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2016,Allegany,New York,618,72100,2367,661,13334,3.44,-7416.0,-7932.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2016,Allegany,New York,618,72100,2367,661,13334,3.46,-7416.0,-7932.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2016,Allegany,New York,618,72100,2367,661,13334,3.47,-7416.0,-7932.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2016,Allegany,New York,618,72100,2367,661,13334,3.77,-7416.0,-7932.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2016,Allegany,New York,618,72100,2367,661,13334,4.2,-7416.0,-7932.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2017,Allegany,New York,633,73300,2421,659,13463,4.15,-7596.0,-7908.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2017,Allegany,New York,633,73300,2421,659,13463,4.17,-7596.0,-7908.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2017,Allegany,New York,633,73300,2421,659,13463,4.2,-7596.0,-7908.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2017,Allegany,New York,633,73300,2421,659,13463,4.04,-7596.0,-7908.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2017,Allegany,New York,633,73300,2421,659,13463,4.01,-7596.0,-7908.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2017,Allegany,New York,633,73300,2421,659,13463,3.9,-7596.0,-7908.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2017,Allegany,New York,633,73300,2421,659,13463,3.97,-7596.0,-7908.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2017,Allegany,New York,633,73300,2421,659,13463,3.88,-7596.0,-7908.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2017,Allegany,New York,633,73300,2421,659,13463,3.8,-7596.0,-7908.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2017,Allegany,New York,633,73300,2421,659,13463,3.9,-7596.0,-7908.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2017,Allegany,New York,633,73300,2421,659,13463,3.92,-7596.0,-7908.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2017,Allegany,New York,633,73300,2421,659,13463,3.95,-7596.0,-7908.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
2018,Allegany,New York,645,73900,2420,665,13533,4.03,-7740.0,-7980.0,-105557.97524636105,-348724.68731891864,,-0.09802635843455976
