RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,PriceDate,HomePrice,County,Year,Month,TaxAmount,TaxDate,Mortgage Rate,RentDate,Housing,MonthlyRent
1722,902,Genesee County,county,NY,NY,"Batavia, NY",36,37,2000-02-29,45960.22440481863,Genesee,2000,2000-02-29,,,,2024-01-01,8977.0,748.0833333333334
1024,954,Fulton County,county,NY,NY,"Gloversville, NY",36,35,2000-02-29,39582.93079542332,Fulton,2000,2000-02-29,,,,2024-01-01,9580.0,798.3333333333334
2979,1012,Montgomery County,county,NY,NY,"Amsterdam, NY",36,57,2000-02-29,40613.34378148155,Montgomery,2000,2000-02-29,,,,2024-01-01,9218.0,768.1666666666666
748,1026,Tioga County,county,NY,NY,"Binghamton, NY",36,107,2000-02-29,48809.27245269918,Tioga,2000,2000-02-29,,,,2024-01-01,10472.0,872.6666666666666
2287,1037,Franklin County,county,NY,NY,"Malone, NY",36,33,2000-02-29,41959.29115854662,Franklin,2000,2000-02-29,,,,2024-01-01,8122.0,676.8333333333334
2224,1050,Cortland County,county,NY,NY,"Cortland, NY",36,23,2000-02-29,32703.785706836483,Cortland,2000,2000-02-29,,,,2024-01-01,10797.0,899.75
1954,1191,Orleans County,county,NY,NY,"Rochester, NY",36,73,2000-02-29,36440.49960624712,Orleans,2000,2000-02-29,,,,2024-01-01,9933.0,827.75
1373,1369,Seneca County,county,NY,NY,"Seneca Falls, NY",36,99,2000-02-29,73452.93917497588,Seneca,2000,2000-02-29,,,,2024-01-01,9881.0,823.4166666666666
2843,1472,Schoharie County,county,NY,NY,"Albany-Schenectady-Troy, NY",36,95,2000-02-29,45179.74539567476,Schoharie,2000,2000-02-29,,,,2024-01-01,9583.0,798.5833333333334
816,1663,Yates County,county,NY,NY,"Rochester, NY",36,123,2000-02-29,72257.25627091415,Yates,2000,2000-02-29,,,,2024-01-01,9170.0,764.1666666666666
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,47,2000-03-31,119067.78203351649,Kings,2000,2000-03-31,,,,2024-01-01,26251.0,2187.5833333333335
1347,10,Queens County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,81,2000-03-31,118800.2508218335,Queens,2000,2000-03-31,,,,2024-01-01,28178.0,2348.1666666666665
2452,20,New York County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,61,2000-03-31,261665.95212822268,New York,2000,2000-03-31,,,,2024-01-01,31371.0,2614.25
2046,24,Suffolk County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,103,2000-03-31,92057.94649390476,Suffolk,2000,2000-03-31,,,,2024-01-01,22245.0,1853.75
401,26,Bronx County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,5,2000-03-31,82123.17932884171,Bronx,2000,2000-03-31,,,,2024-01-01,21130.0,1760.8333333333333
1252,29,Nassau County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,59,2000-03-31,132950.80818101455,Nassau,2000,2000-03-31,,,,2024-01-01,22295.0,1857.9166666666667
3148,48,Westchester County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,119,2000-03-31,116330.80157006095,Westchester,2000,2000-03-31,,,,2024-01-01,27604.0,2300.3333333333335
157,55,Erie County,county,NY,NY,"Buffalo-Cheektowaga, NY",36,29,2000-03-31,55167.06758853661,Erie,2000,2000-03-31,,,,2024-01-01,12016.0,1001.3333333333334
1223,87,Monroe County,county,NY,NY,"Rochester, NY",36,55,2000-03-31,56703.71818259591,Monroe,2000,2000-03-31,,,,2024-01-01,12754.0,1062.8333333333333
2511,143,Richmond County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,85,2000-03-31,112882.36639570644,Richmond,2000,2000-03-31,,,,2024-01-01,24853.0,2071.0833333333335
