Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Owner_Cost_Annual,Cumulative_Rent,Cumulative_Owner,Adjusted_Cumulative_Owner,Net_Difference_Savings,Cumulative_Rent_k,Adjusted_Cumulative_Owner_k,Net_Difference_Savings_k
2017,Delaware,New York,696,138000,2748,754,14008,754,2046,2261,-247739,249785,2.046,-247.739,249.785
2018,Delaware,New York,696,136300,2743,788,14132,788,2742,3049,-246951,249693,2.742,-246.951,249.693
2019,Delaware,New York,691,139300,2746,777,14010,777,3433,3826,-246174,249607,3.433,-246.174,249.607
2020,Delaware,New York,700,144000,2781,767,14296,767,4133,4593,-245407,249540,4.133,-245.407,249.54
2021,Delaware,New York,723,147600,2812,808,14054,808,4856,5401,-244599,249455,4.856,-244.599,249.455
2022,Delaware,New York,785,160400,2938,889,14490,889,5641,6290,-243710,249351,5.641,-243.71,249.351
2023,Delaware,New York,848,176200,3059,944,14530,944,6489,7234,-242766,249255,6.489,-242.766,249.255
2015,Dutchess,New York,1130,275600,5826,1791,73727,1791,1130,1791,-248209,249339,1.13,-248.209,249.339
2016,Dutchess,New York,1141,274300,5935,1770,73505,1770,2271,3561,-246439,248710,2.271,-246.439,248.71
2017,Dutchess,New York,1174,275200,6047,1772,74264,1772,3445,5333,-244667,248112,3.445,-244.667,248.112
2018,Dutchess,New York,1194,278100,6192,1776,73809,1776,4639,7109,-242891,247530,4.639,-242.891,247.53
2019,Dutchess,New York,1220,282000,6390,1748,74540,1748,5859,8857,-241143,247002,5.859,-241.143,247.002
2020,Dutchess,New York,1237,290700,6458,1700,75080,1700,7096,10557,-239443,246539,7.096,-239.443,246.539
2021,Dutchess,New York,1314,304600,6674,1770,76956,1770,8410,12327,-237673,246083,8.41,-237.673,246.083
2022,Dutchess,New York,1425,348700,7135,1890,78430,1890,9835,14217,-235783,245618,9.835,-235.783,245.618
2023,Dutchess,New York,1522,368100,7226,1924,79284,1924,11357,16141,-233859,245216,11.357,-233.859,245.216
2015,Erie,New York,739,130000,3499,938,248889,938,739,938,-249062,249801,0.739,-249.062,249.801
2016,Erie,New York,752,134600,3582,941,249815,941,1491,1879,-248121,249612,1.491,-248.121,249.612
2017,Erie,New York,778,139900,3686,951,251212,951,2269,2830,-247170,249439,2.269,-247.17,249.439
2018,Erie,New York,804,146500,3781,968,251238,968,3073,3798,-246202,249275,3.073,-246.202,249.275
